Test#,L_AGN(erg/s),vin(km/s),alpha,nH_0(cm^-3),R0(pc),Tin,Comments,Error,R2(pc),Rc,R1(~),f,L_edd(erg/s),Mdot_in(CGS),Mdot_in(Msol/yr),Mdot_acc(CHECK UNITS)
0,1e+46,20000.0,0.0,100.0,100.0,1.0,Default values,,10.822640927893,9.30747119798798,8.74535707638015,1,1e+46,1.66777851901268e+31,2.65853207067004e-10,1.11259407539204e+26
1,1e+46,10000.0,0.0,100.0,100.0,1.0,Vary vin,,9.42165615612893,8.10262429427088,10.0457772874995,1,1e+46,3.33555703802535e+31,5.31706414134007e-10,1.11259407539204e+26
2,1e+46,30000.0,0.0,100.0,100.0,1.0,,,11.7368485761088,10.0936897754536,8.06416294886286,1,1e+46,1.11185234600845e+31,1.77235471378002e-10,1.11259407539204e+26
3,1e+46,40000.0,0.0,100.0,100.0,1.0,,,12.4319498305943,10.6914768543111,7.61327552906851,1,1e+46,8.33889259506338e+30,1.32926603533502e-10,1.11259407539204e+26
4,1e+46,50000.0,0.0,100.0,100.0,1.0,,,12.9993384586997,11.1794310744817,7.28097508381487,1,1e+46,6.6711140760507e+30,1.06341282826801e-10,1.11259407539204e+26
5,1e+46,20000.0,1.0,100.0,100.0,1.0,"Check alpha param: Zig-zag in N_v, but works! (messes up some lines)",,5.01693807964575,4.31456674849535,2.76016969539232,1,1e+46,1.66777851901268e+31,2.65853207067004e-10,1.11259407539204e+26
6,1e+46,20000.0,2.0,100.0,100.0,1.0,,,1.21231598489118,1.04259174700641,0.327869802699555,1,1e+46,1.66777851901268e+31,2.65853207067004e-10,1.11259407539204e+26
7,1e+46,20000.0,2.5,100.0,100.0,1.0,,,0.32853527192976,0.282540333859594,0.0462541469854592,1,1e+46,1.66777851901268e+31,2.65853207067004e-10,1.11259407539204e+26
8,1e+46,20000.0,3.0,100.0,100.0,1.0,,"line 754, dv=np.abs(v2[j]-v1[j]): IndexError: list index out of range",0,0,0,1,1e+46,1.66777851901268e+31,2.65853207067004e-10,1.11259407539204e+26
9,1e+46,20000.0,0.0,10.0,100.0,1.0,Vary nH_0,,17.1527299310686,14.751347740719,17.4492814054477,1,1e+46,1.66777851901268e+31,2.65853207067004e-10,1.11259407539204e+26
10,1e+46,20000.0,0.0,50.0,100.0,1.0,,,12.4319498305943,10.6914768543111,10.7667975072919,1,1e+46,1.66777851901268e+31,2.65853207067004e-10,1.11259407539204e+26
11,1e+46,20000.0,0.0,200.0,100.0,1.0,,,9.42165615612893,8.10262429427088,7.10343724228073,1,1e+46,1.66777851901268e+31,2.65853207067004e-10,1.11259407539204e+26
12,1e+46,20000.0,0.0,1000.0,100.0,1.0,,,6.82862478012601,5.87261731090837,4.38306132019365,1,1e+46,1.66777851901268e+31,2.65853207067004e-10,1.11259407539204e+26
13,1e+45,20000.0,0.0,100.0,100.0,1.0,Vary L_AGN,,6.82862478012601,5.87261731090837,4.38306132019365,1,1e+45,1.66777851901268e+30,2.65853207067004e-11,1.11259407539204e+25
14,5e+45,20000.0,0.0,100.0,100.0,1.0,,,9.42165615612893,8.10262429427088,7.10343724228073,1,5e+45,8.33889259506338e+30,1.32926603533502e-10,5.56297037696022e+25
15,2e+46,20000.0,0.0,100.0,100.0,1.0,,,12.4319498305943,10.6914768543111,10.7667975072919,1,2e+46,3.33555703802535e+31,5.31706414134007e-10,2.22518815078409e+26
16,1e+47,20000.0,0.0,100.0,100.0,1.0,,,17.1527299310686,14.751347740719,17.4492814054477,1,1e+47,1.66777851901268e+32,2.65853207067004e-09,1.11259407539204e+27
17,1e+47,50000.0,2.5,1000.0,100.0,1.0,"All max values (that worked)","Line 147, if r<R1_t1[i]: IndexError: list index out of range",0.473977805900266,0.407620913074229,0.050692612893145,1,1e+47,6.6711140760507e+31,1.06341282826801e-09,1.11259407539204e+27
18,1e+45,10000.0,0.0,50.0,100.0,1.0,"All min values  (that worked)","Line 192, NameError: name 'Rc_ind1' is not defined",6.82862478012601,5.87261731090837,6.19858476373078,1,1e+45,3.33555703802535e+30,5.31706414134007e-11,1.11259407539204e+25
